,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
63,frozenset({'>50K'}),frozenset({'male'}),0.36269201016686925,0.6749917117913582,0.3255608354514311,0.8976234003656308,1.329828773724393,0.08074673465584734,3.174634529466558,0.38917367125335983
64,frozenset({'>50K'}),frozenset({'white'}),0.36269201016686925,0.8587689247430655,0.3251187976571997,0.8964046313223645,1.0438251845111408,0.013650170073296386,1.36329526174488,0.06587894248635875
65,"frozenset({'>50K', 'UnitedStates'})",frozenset({'married'}),0.3339595535418278,0.4772903083213615,0.3052270969167864,0.913964262078094,1.9149022013300931,0.14583143863994316,6.075494954818638,0.7173440012341279
66,"frozenset({'>50K', 'married'})",frozenset({'UnitedStates'}),0.3324124212620179,0.9145761962647806,0.3052270969167864,0.9182180851063829,1.0039820507645794,0.001210609087804182,1.044531713965609,0.0059411784378076045
67,frozenset({'>50K'}),"frozenset({'UnitedStates', 'married'})",0.36269201016686925,0.43131837772129517,0.3052270969167864,0.8415600243753809,1.9511341687350299,0.14879136747913685,3.5892559313821337,0.764901100885246
68,"frozenset({'male', '>50K'})",frozenset({'married'}),0.3255608354514311,0.4772903083213615,0.3008067189744723,0.9239646978954514,1.9358547236063763,0.14541968744449874,6.8745658557378055,0.7167915756250495
69,"frozenset({'>50K', 'married'})",frozenset({'male'}),0.3324124212620179,0.6749917117913582,0.3008067189744723,0.9049202127659574,1.3406389989062129,0.07643108972611276,3.4182689892713065,0.38060480909231426
70,frozenset({'>50K'}),"frozenset({'male', 'married'})",0.36269201016686925,0.423251187976572,0.3008067189744723,0.8293723339427179,1.9595274803779776,0.14729689480173397,3.3801600018944487,0.7683457539903429
71,"frozenset({'male', '>50K'})",frozenset({'UnitedStates'}),0.3255608354514311,0.9145761962647806,0.30069620952591447,0.9236252545824847,1.0098942639822261,0.0029460189859604746,1.118482336906472,0.014526627694623461
72,"frozenset({'>50K', 'UnitedStates'})",frozenset({'male'}),0.3339595535418278,0.6749917117913582,0.30069620952591447,0.900397088021178,1.3339379910778715,0.07527627881163837,3.2630400231445695,0.3758630082306943
73,frozenset({'>50K'}),"frozenset({'male', 'UnitedStates'})",0.36269201016686925,0.6153166095701182,0.30069620952591447,0.8290676416819013,1.347383816375633,0.07752579151186562,2.2505006905363136,0.4045469135974767
74,"frozenset({'male', 'UnitedStates', '>50K'})",frozenset({'married'}),0.30069620952591447,0.4772903083213615,0.27715769698309206,0.9217199558985667,1.9311516279060268,0.13363831042740362,6.677432258486268,0.6895061593041332
75,"frozenset({'male', '>50K', 'married'})",frozenset({'UnitedStates'}),0.3008067189744723,0.9145761962647806,0.27715769698309206,0.9213813372520206,1.0074407589165701,0.0020470321325303797,1.0865588493797544,0.010563320812628464
76,"frozenset({'>50K', 'UnitedStates', 'married'})",frozenset({'male'}),0.3052270969167864,0.6749917117913582,0.27715769698309206,0.9080376538740044,1.3452574868870113,0.07113193635012363,3.534145244221531,0.36939823422373047
77,"frozenset({'male', '>50K'})","frozenset({'UnitedStates', 'married'})",0.3255608354514311,0.43131837772129517,0.27715769698309206,0.8513238289205702,1.9737712856526364,0.13673732558659127,3.8249681717649864,0.7315050955409019
78,"frozenset({'>50K', 'UnitedStates'})","frozenset({'male', 'married'})",0.3339595535418278,0.423251187976572,0.27715769698309206,0.8299139642620781,1.9608071703936147,0.13580891921038782,3.3909239492894927,0.7356999827199716
79,"frozenset({'>50K', 'married'})","frozenset({'male', 'UnitedStates'})",0.3324124212620179,0.6153166095701182,0.27715769698309206,0.8337765957446808,1.3550367124449743,0.07261881295315331,2.3142552768261675,0.39247676760636446
80,"frozenset({'>50K', 'UnitedStates'})",frozenset({'white'}),0.3339595535418278,0.8587689247430655,0.30986849375621617,0.927862342819325,1.0804563557035223,0.02307440705342645,1.9577995845250287,0.11180276014236458
81,"frozenset({'>50K', 'white'})",frozenset({'UnitedStates'}),0.3251187976571997,0.9145761962647806,0.30986849375621617,0.9530931339225017,1.0421145201624842,0.012522580460715582,1.8211364535435914,0.05988100463278846
82,frozenset({'>50K'}),"frozenset({'UnitedStates', 'white'})",0.36269201016686925,0.8048403138468339,0.30986849375621617,0.8543570993296771,1.0615237390957364,0.017959342463774064,1.339987635888476,0.09094182132735662
83,"frozenset({'>50K', 'white'})",frozenset({'married'}),0.3251187976571997,0.4772903083213615,0.298043982760526,0.916723317471108,1.92068286635704,0.14286793158565084,6.27678331803491,0.71027588040469
84,"frozenset({'>50K', 'married'})",frozenset({'white'}),0.3324124212620179,0.8587689247430655,0.298043982760526,0.8966090425531914,1.04406321272215,0.01257852518210395,1.3659905928387732,0.06321805322755251
85,frozenset({'>50K'}),"frozenset({'white', 'married'})",0.36269201016686925,0.42380373521936127,0.298043982760526,0.8217550274223034,1.9389990203766425,0.14433375411758828,3.2326087880513774,0.7598680536896959
86,"frozenset({'male', '>50K'})",frozenset({'white'}),0.3255608354514311,0.8587689247430655,0.2937341142667698,0.9022403258655805,1.0506206033660581,0.014152585667690232,1.4446762073157253,0.07143953552798847
87,"frozenset({'>50K', 'white'})",frozenset({'male'}),0.3251187976571997,0.6749917117913582,0.2937341142667698,0.9034670292318151,1.3384861079762107,0.07428162050058837,3.3668112109500856,0.3747137670164237
88,frozenset({'>50K'}),"frozenset({'male', 'white'})",0.36269201016686925,0.5955354182782628,0.2937341142667698,0.8098720292504571,1.3599057325454418,0.07773817628585938,2.127328136555676,0.4152700368446454
89,"frozenset({'>50K', 'white', 'UnitedStates'})",frozenset({'married'}),0.30986849375621617,0.4772903083213615,0.2834567355508896,0.9147646219686163,1.916579084092153,0.13555950662690933,6.132543830405451,0.6929650699116798
90,"frozenset({'married', '>50K', 'UnitedStates'})",frozenset({'white'}),0.3052270969167864,0.8587689247430655,0.2834567355508896,0.9286748732802318,1.081402512972953,0.0213371897292135,1.9801026896429106,0.10834467360632462
91,"frozenset({'>50K', 'white', 'married'})",frozenset({'UnitedStates'}),0.298043982760526,0.9145761962647806,0.2834567355508896,0.9510567296996664,1.0398879104703096,0.010872803478161885,1.7453636263173264,0.0546442986138732
92,"frozenset({'>50K', 'UnitedStates'})","frozenset({'white', 'married'})",0.3339595535418278,0.42380373521936127,0.2834567355508896,0.8487756452680345,2.0027564052230624,0.1419234293476727,3.8102081229039193,0.7517383599662468
93,"frozenset({'>50K', 'white'})","frozenset({'UnitedStates', 'married'})",0.3251187976571997,0.43131837772129517,0.2834567355508896,0.871855880353501,2.0213742919084887,0.14322702317868824,4.437828468816843,0.748705205511459
